Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated
2025-12-01,-5.0,-124086876.01710165,36131123.982898206,5009198573.582899,4465594260.782899,543604312.8,80454.56600000011,292.7493,420.0,399.52,396.13,396.05,396.44,385.22,7560000.0,0.9229239225387573,0.8553360104560852,0.9909659028053284,-0.2348213940858841,0.9948495626449585,-0.6892938613891602,1,1,1,0,1,-1,0,0,0,0,1,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,713592.0,2541600.000000001,-126628476.01710165,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,5,0,0,0
2025-12-02,-0.5143065013831052,608400.0000000601,36739523.982898265,5009806973.582899,4469352660.782899,540454312.8000001,80454.56600000011,254.20151666666663,420.0,399.04,395.34,395.22,395.61,384.41,7560000.0,0.9225828051567078,0.8231176137924194,0.9957513809204102,-0.24444134533405304,0.9930453300476074,-0.682916522026062,1,1,1,0,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,608400.0000000601,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-03,-1.811029478995146,-127353599.99999999,-90614076.01710172,4881847169.582899,4280237856.782899,601609312.8000001,1813028.0442450885,230.45415000000003,420.0,398.6,394.55,394.39,342.23,280.65,9720000.0,0.8940231800079346,0.9940151572227478,0.9999867677688599,-0.21011491119861603,0.9280012845993042,0.6837443709373474,1,1,1,0,1,1,0,0,0,0,0,1,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,97577999.99999997,606203.9999999999,-127353599.99999999,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,6,0,0
2025-12-04,-0.7089308677485651,6836400.000000004,-83777676.01710172,4888116900.782899,4147070688.782899,741046212.0000001,2453493.4860839583,237.3106,420.0,398.08,393.72,393.52,341.58,280.17,11160000.0,0.7581307888031006,0.9995772838592529,0.9999945759773254,0.6619729399681091,0.9445741772651672,0.21400947868824005,1,1,1,1,1,0,0,0,0,1,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,566668.8,6836400.000000004,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,4,0,0,0,0
2025-12-05,-0.5692171221114501,-11915999.999999989,-95693676.0171017,4876200900.782899,4147070688.782899,729130212.0,1813028.0442450885,188.3115,414.71,397.32,392.74,392.54,340.83,279.61,11160000.0,0.642492413520813,0.9999003410339355,0.9999938607215881,0.5118651390075684,0.9199285507202148,0.15659701824188232,1,1,1,1,1,0,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,-11915999.999999989,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-09,-1.088934020564164,-97423200.00000009,-193116876.0171018,4776531300.782899,4130498088.782899,646033212.0000001,80454.56600000011,219.91283333333337,408.07,396.25,391.56,391.4,339.94,280.65,9000000.0,0.4059968888759613,0.6826573014259338,0.9991350769996643,0.30821654200553894,0.9973100423812866,-0.953790009021759,1,1,1,0,1,-1,0,0,0,0,0,-1,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,105256800.00000004,606203.9999999999,-97423200.00000009,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,-6,0,0
2025-12-10,-5.0,-546537600.0,-739654476.0171018,4229993700.782899,3560157288.782899,669836412.0000001,80454.56600000011,202.30094999999997,250.0,250.0,250.0,390.26,339.06,280.65,9000000.0,0.5502808690071106,0.9991096258163452,0.9998239874839783,0.3127766251564026,0.9397796988487244,-0.8661897778511047,1,1,1,0,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,570340800.0,0.0,-546537600.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-11,-0.4390955965232495,-24811199.999999985,-764465676.0171018,4205182500.782899,3527757288.782899,677425212.0000001,80454.56600000011,235.0135,250.0,250.0,250.0,389.13,338.18,280.65,9000000.0,0.652026891708374,0.9743585586547852,0.9999815225601196,0.29397881031036377,0.9213975667953491,-0.9417857527732849,1,1,1,0,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,32400000.0,0.0,-24811199.999999985,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-12,-0.36614963501945713,11660399.999999994,-752805276.0171018,4216842900.782899,3542517288.782899,674325612.0000001,80454.56600000011,251.70760000000004,252.0,255.0,255.0,388.04,337.33,280.65,9000000.0,0.8527728915214539,0.9988254308700562,0.9999990463256836,0.37700706720352173,-0.135498508810997,-0.9126848578453064,1,1,1,1,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,11660399.999999994,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-15,-0.6006068631319511,-14687999.999999953,-767493276.0171018,4212839700.782899,3667226587.9828987,545613112.8000001,80454.56600000011,293.72229999999996,250.24,254.9,254.59,387.07,336.55,280.65,7560000.0,0.9782728552818298,0.9999547600746155,0.9999989867210388,-0.6530919075012207,0.4489431381225586,-0.7578146457672119,1,1,1,-1,1,-1,0,0,0,-1,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,557380.8,-14687999.999999953,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,-4,0,0,0,0
2025-12-16,-0.4265583831319512,44467199.99999996,-723026076.0171018,4257306900.782899,3710426587.9828987,546880312.8000001,80454.56600000011,324.73886666666664,252.0,255.0,255.0,386.14,335.81,280.65,7560000.0,0.9678661227226257,0.9999995231628418,0.9999856948852539,-0.998866617679596,0.7228192687034607,-0.7803339958190918,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,44467199.99999996,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-17,-0.5078823831319511,3805199.999999987,-719220876.0171018,4261112100.782899,3715437787.9828987,545674312.8000001,80454.56600000011,346.187625,252.0,255.1,255.0,385.25,335.14,280.14,7560000.0,0.919965922832489,0.9999998211860657,0.9999994039535522,-0.9976767301559448,0.6076288819313049,-0.9929760098457336,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,3805199.999999987,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-18,0.18296481686804875,349228799.99999994,-369992076.0171018,4610340900.782899,4065818587.9828987,544522312.8000001,80454.56600000011,379.1691666666666,325.0,362.0,359.0,373.0,334.5,251.0,7560000.0,0.9083139896392822,0.999999463558197,0.9999998211860657,-0.9986041188240051,0.9119911789894104,-0.9963176846504211,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,349228799.99999994,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-19,-0.4060095831319511,54741600.0,-315250476.0171018,4665082500.782899,4124167387.9828987,540915112.8,80454.56600000011,384.92366666666663,322.66,380.5,380.5,373.0,333.9,251.0,7560000.0,0.9421550035476685,0.9999996423721313,1.0,-0.9962778091430664,0.9097626209259033,-0.9931855797767639,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,54741600.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-22,-0.4920639831319511,11714400.00000001,-303536076.0171018,4676796900.782899,4137926587.9828987,538870312.8,80454.56600000011,437.8349333333333,321.6,380.5,380.5,373.0,333.4,251.0,7560000.0,0.9696147441864014,1.0,1.0,-0.9980676770210266,0.8544202446937561,-0.9941869974136353,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,11714400.00000001,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
2025-12-23,-0.34138958313195106,87051600.00000003,-216484476.0171018,4763848500.782899,4222260187.9828987,541588312.8000001,80454.56600000011,435.147525,393.0,381.0,381.0,373.0,332.87,251.0,7560000.0,0.9450544118881226,1.0,1.0,-0.9967558979988098,0.9091180562973022,-0.9982223510742188,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,87051600.00000003,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0
