Fecha,NivelEmbalse
2023-06-06,12135561625.6
2023-06-07,12243383682.9
2023-06-08,12337887090.1
2023-06-09,12362246905.9
2023-06-10,12481627179.6
2023-06-11,12547341715.1
2023-06-12,12582072407.5
2023-06-13,12689087736.4
2023-06-14,12697606495.6
2023-06-15,12660159090.2
2023-06-16,12641700177.4
2023-06-17,12660406411.099998
2023-06-18,12701833039.4
2023-06-19,12753442093.6
2023-06-20,12815315129.1
2023-06-21,12815607555.3
2023-06-22,12800616485.3
2023-06-23,12773201929.4
2023-06-24,12769646853.8
2023-06-25,12791815369.9
2023-06-26,12863158444.4
2023-06-27,12972852996.9
2023-06-28,13116074025.1
2023-06-29,13135941496.7
2023-06-30,13132322488.1
2023-07-01,13126770742.0
2023-07-02,13123953606.0
2023-07-03,13117046538.0
2023-07-04,13222958614.0
2023-07-05,13279817548.0
2023-07-06,13322292192.0
2023-07-07,13340531988.0
2023-07-08,13396845846.0
2023-07-09,13484663702.0
2023-07-10,13553210942.0
2023-07-11,13605865620.0
2023-07-12,13691257944.0
2023-07-13,13703356992.0
2023-07-14,13707908122.0
2023-07-15,13713881716.0
2023-07-16,13850693362.0
2023-07-17,13918512902.0
2023-07-18,14062969654.0
2023-07-19,14288533442.0
2023-07-20,14433342614.0
2023-07-21,14548735896.0
2023-07-22,14587596760.0
2023-07-23,14653397680.0
2023-07-24,14700359676.0
2023-07-25,14712868678.0
2023-07-26,14743859572.0
2023-07-27,14734690392.0
2023-07-28,14735582984.0
2023-07-29,14741133656.0
2023-07-30,14737136960.0
2023-07-31,14746075444.0
2023-08-01,14761202016.199999
2023-08-02,14756144558.2
2023-08-03,14791561520.0
2023-08-04,14813003758.1
2023-08-05,14806814746.599998
2023-08-06,14773404070.199999
2023-08-07,14797681303.5
2023-08-08,14809134226.199999
2023-08-09,14826855648.0
2023-08-10,14799231893.7
2023-08-11,14806278468.0
2023-08-12,14777094162.8
2023-08-13,14771052660.7
2023-08-14,14788041455.2
2023-08-15,14832760105.5
2023-08-16,14824832846.7
2023-08-17,14865023053.8
2023-08-18,14873783393.7
2023-08-19,14863792683.8
2023-08-20,14881701047.9
2023-08-21,14849325424.1
2023-08-22,14886304670.9
2023-08-23,14944382902.0
2023-08-24,15143562560.7
2023-08-25,15148453305.199999
2023-08-26,15112272847.0
2023-08-27,15088607581.9
2023-08-28,15053024901.1
2023-08-29,15003435816.6
2023-08-30,14919485498.5
2023-08-31,14853633555.2
2023-09-01,14761151121.5
2023-09-02,14685215768.5
2023-09-03,14606599366.6
2023-09-04,14559300104.5
2023-09-05,14518450232.9
2023-09-06,14539045847.3
2023-09-07,14484043392.1
2023-09-08,14413858432.8
2023-09-09,14331641653.2
2023-09-10,14248282824.6
2023-09-11,14201020283.1
2023-09-12,14229098367.1
2023-09-13,13695123912.4
2023-09-14,13738511246.9
2023-09-15,13707338019.4
2023-09-16,13700335409.3
