Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2022-05-13,52786982.93,97737326.93,67911513.17,218435823.03
2022-05-14,53907087.51,92826672.82,64704874.63,211438634.96
2022-05-15,50718402.6,81600528.8,61517547.99,193836479.39
2022-05-16,52604467.660000004,96931895.58,68021030.1,217557393.34
2022-05-17,54569971.42,96198352.83,66655477.58,217423801.83
2022-05-18,53814175.98,95663085.55,66920137.27,216397398.8
2022-05-19,53863086.15,95737181.6,66971833.8,216572101.55
2022-05-20,54185128.25,97441869.3,67116984.0,218743981.55
2022-05-21,53214995.33,91954065.31,64388122.519999996,209557183.16
2022-05-22,50321578.22,82222308.53,61815612.839999996,194359499.59
2022-05-23,52168396.6,96384268.04,67436267.18,215988931.82
2022-05-24,54273368.33,97725844.7,67936353.67,219935566.7
2022-05-25,54401467.49,96977002.03,67642080.61,219020550.13
2022-05-26,53970599.72,96409922.98,66874379.55,217254902.25
2022-05-27,53387694.58,97406049.96,67817853.97,218611598.51
2022-05-28,53448338.99,93423365.22,62969321.18,209841025.39
2022-05-29,49006665.14,78689311.15,58942752.32,186638728.61
2022-05-30,48282651.96,83343441.71,61838834.08,193464927.75
2022-05-31,51830349.51,95524098.96,66105889.79,213460338.26
2022-06-01,52734240.33,95551747.5,66886886.72,215172874.55
2022-06-02,53301959.99,95151237.11,66208823.78,214662020.88
2022-06-03,53094715.27,93466507.84,64622048.82,211183271.93
2022-06-04,51642246.48,89590839.62,61956116.55,203189202.65
2022-06-05,47899917.36,78255732.61,59183625.33,185339275.3
2022-06-06,50483217.4,94373362.23,65815693.86,210672273.49
2022-06-07,52634098.1,93289357.07000001,64191295.06,210114750.23
2022-06-08,51376823.92,93725027.08,65777526.82,210879377.82
2022-06-09,52822924.06,94646728.9,65812988.9,213282641.86
2022-06-10,53132632.39,96273285.3,67316612.73,216722530.42
2022-06-11,53236620.589999996,90473237.98,62363621.43,206073480.0
2022-06-12,48697234.51,78348260.67,58735161.55,185780656.73
2022-06-13,50136088.57,94302485.02,66088190.28,210526763.87
2022-06-14,52692949.64,93022338.26,64838331.25,210553619.15
2022-06-15,52458012.12,95328746.65,66378861.65,214165620.42
2022-06-16,52799788.16,96007684.44,66906037.79,215713510.39
2022-06-17,53684054.89,95240892.44,65214752.38,214139699.71
2022-06-18,51715553.43,89951706.33,61413750.55,203081010.31
2022-06-19,47702246.19,74637592.16,55906797.88,178246636.23
2022-06-20,46165717.47,81150724.1,60640983.62,187957425.19
2022-06-21,50679115.519999996,94269408.92,65505608.67,210454133.10999998
2022-06-22,52635708.38,96438707.03,67316853.91,216391269.32
2022-06-23,53699707.8,97180555.46,67352826.88,218233090.14
2022-06-24,53442875.410000004,95255432.11,65405574.22,214103881.74
2022-06-25,51713756.87,88820835.5,61358915.58,201893507.95
2022-06-26,47654260.22,76495662.16,57051831.33,181201753.71
2022-06-27,47066846.61,79380027.14,59078226.79,185525100.54
2022-06-28,49698473.15,93805849.04,65218996.33,208723318.52
2022-06-29,52194382.65,95100407.71,65987205.45,213281995.81
2022-06-30,52862141.39,95084145.44,65021840.82,212968127.65
2022-07-01,52097376.37,95275275.62,65922466.83,213295118.82
2022-07-02,52661766.58,89955643.82000001,62388022.42,205005432.82
2022-07-03,48981001.21,78115732.27,58876896.84,185973630.32
2022-07-04,48823519.53,81407468.97,61174793.0,191405781.5
2022-07-05,51464742.31,95564066.07000001,66500401.79,213529210.17
2022-07-06,53321135.15,96104818.3,66726164.36,216152117.81
2022-07-07,53622094.92,97744610.66,67599504.45,218966210.03
2022-07-08,54227291.0,97531395.65,66779956.91,218538643.56
2022-07-09,53231679.29,93010040.57000001,65059967.56,211301687.42
2022-07-10,51024625.56,80916862.41,61325421.56,193266909.53
2022-07-11,52554721.480000004,95592265.19,66377204.95,214524191.62
2022-07-12,54097846.64,97045371.72,67532469.22,218675687.58
