Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,ELM_Vencimiento_00Meses,ELM_Vencimiento_01Meses,ELM_Vencimiento_02Meses,ELM_Vencimiento_03Meses,ELM_Vencimiento_04Meses,ELM_Vencimiento_05Meses,ELM_Vencimiento_06Meses,Precio_COP/kWh_Dia,Precio_Bilateral_COP/kWh_Dia,Demanda_kWh_Dia,Demanda_kWh_Dia_Comprador,Demanda_Comprador_Dia_01Meses_Adelante,Demanda_Comprador_Dia_02Meses_Adelante,Demanda_Comprador_Dia_03Meses_Adelante,Demanda_Comprador_Dia_04Meses_Adelante,Demanda_Comprador_Dia_05Meses_Adelante,Demanda_Comprador_Dia_06Meses_Adelante,Disponibilidad_kWh_Dia,Ratio_Cobertura_Dia,Retorno_Precio_Dia,Base_ELM_Vencimiento_00Meses,Retorno_ELM_Vencimiento_00Meses,Beta_MA30_ELM_Vencimiento_00Meses,Base_ELM_Vencimiento_01Meses,Retorno_ELM_Vencimiento_01Meses,Beta_MA30_ELM_Vencimiento_01Meses,Base_ELM_Vencimiento_02Meses,Retorno_ELM_Vencimiento_02Meses,Beta_MA30_ELM_Vencimiento_02Meses,Base_ELM_Vencimiento_03Meses,Retorno_ELM_Vencimiento_03Meses,Beta_MA30_ELM_Vencimiento_03Meses,Base_ELM_Vencimiento_04Meses,Retorno_ELM_Vencimiento_04Meses,Beta_MA30_ELM_Vencimiento_04Meses,Base_ELM_Vencimiento_05Meses,Retorno_ELM_Vencimiento_05Meses,Beta_MA30_ELM_Vencimiento_05Meses,Base_ELM_Vencimiento_06Meses,Retorno_ELM_Vencimiento_06Meses,Beta_MA30_ELM_Vencimiento_06Meses,Precio_Ponderado_COP/kWh
2022-08-12,107.9782,435.0312,25400887.46,190551061.06,1892438.33,0.7260891526500497,576.8655142857143,124.94,185.15,220.0,232.5,252.5,325.57,357.03,107.8249,265.20166666666665,219822543.21,38679.151000000005,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,363296549.5877,1.652681041182555,0.0029298784410044104,16.961799999999997,-0.018162850089185233,-0.1993506492608326,77.1718,-0.015116068268882293,-0.15346602052646632,112.0218,0.0,-0.37139399399915624,124.5218,0.0,-3.970210174355622,144.52179999999998,0.0,-0.7156396297798523,217.59179999999998,0.0,-0.24028887993954856,249.05179999999996,0.0,-0.8526552813178709,107.9782
2022-08-13,109.607,343.1984,28320857.06,188524163.62,1566611.69,0.7153793302878069,528.1016000000001,122.44,181.45,220.0,232.5,252.5,325.57,357.03,109.46336666666669,265.20166666666665,220288832.49,36868.378,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,360803568.4562,1.6378659071270836,0.014971886189999896,12.832999999999998,-0.020212507988212138,-0.20332227870068934,71.84299999999999,-0.020186173700542452,-0.15771837446768308,110.393,0.0,-0.3770109384467828,122.893,0.0,-3.9934581518232095,142.893,0.0,-0.7250109146039516,215.963,0.0,-0.24425804375250382,247.42299999999997,0.0,-0.8707826376986676,109.607
2022-08-14,107.9826,404.7354,26677889.32,177835105.57,1328513.9,0.7318482530625346,436.0522,122.44,181.45,220.0,232.5,252.5,325.57,357.03,107.66221666666668,265.20166666666665,207749508.83,34642.268000000004,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,362086167.4964,1.742897826982073,-0.014931138054221424,14.457399999999993,0.0,-0.2041265726947147,73.46739999999998,0.0,-0.1580986619378996,112.0174,0.0,-0.38089078525656445,124.5174,0.0,-4.009516453993104,144.5174,0.0,-0.7314840335509801,217.5874,0.0,-0.24699970297680016,249.04739999999998,0.0,-0.883303923333516,107.9826
2022-08-15,109.6016,528.85,24002300.84,160086472.88,1057224.05,0.7483171758372625,438.1878571428571,122.44,181.45,220.0,232.5,252.5,325.57,357.03,109.51660833333334,265.20166666666665,187153153.17,28772.717,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,354984691.4472,1.8967604095067037,0.014881869914184064,12.838399999999993,0.0,-0.2110767869177465,71.84839999999998,0.0,-0.1608137524108374,110.3984,0.0,-0.3847506154741735,122.8984,0.0,-4.025491909467941,142.89839999999998,0.0,-0.7379237569057597,215.96839999999997,0.0,-0.24972721765435033,247.42839999999995,0.0,-0.8957606101632271,109.6016
2022-08-16,107.9369,576.335,23692253.85,163017688.73,1518451.5,0.7647860986119903,462.3918,122.44,181.45,220.0,232.5,252.5,325.57,357.03,107.64080833333333,265.20166666666665,189985580.86,30234.809,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,339850475.2376,1.7888224658903726,-0.01530517582849407,14.503100000000003,0.0,-0.2111213723544766,73.5131,0.0,-0.1608349422517569,112.0631,0.0,-0.3849058120280928,124.5631,0.0,-4.026134252653316,144.56310000000002,0.0,-0.7381826861374903,217.6331,0.0,-0.24983688591820014,249.0931,0.0,-0.896261470242617,107.9369
2022-08-17,122.4575,502.4164,26130868.48,183536839.32,1618459.01,0.7598353766622327,466.5887142857143,120.6,177.82,220.0,232.5,252.5,325.57,357.03,120.48715,265.20166666666665,212937758.32,34511.891,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,352109330.6913,1.6535786488470252,0.1262172338930813,-1.8575000000000017,-0.015141829784126702,-0.23975295215240666,55.3625,-0.020208330966086402,-0.18074194629937126,97.5425,0.0,-0.41467951141612946,110.0425,0.0,-4.149364649349209,130.04250000000002,0.0,-0.7878569921296578,203.1125,0.0,-0.27087620565702014,234.5725,0.0,-0.9923490254274843,122.4575
2022-08-18,151.952,367.2294,26872887.97,189451787.55,2043784.87,0.7290010412831374,451.1136857142857,118.791540460173,174.26189793057188,220.0,232.5,252.5,325.5714,357.03477412086954,147.58164166666666,265.20166666666665,221314051.52,37649.785,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,348347971.8397,1.5739984399870788,0.2158006504885058,-33.160459539827,-0.015109088147670126,-0.27867756311366254,22.30989793057188,-0.020212474576662476,-0.19794977504616382,68.048,0.0,-0.43086548166906513,80.548,0.0,-4.2163567791877545,100.548,0.0,-0.8148615920164797,173.61939999999998,4.3001412596113464e-06,-0.28229802856643255,205.08277412086954,1.3371674510901917e-05,-1.2542874287463122,151.952
2022-08-19,120.2275,320.912,27572836.82,192812714.42,2100254.63,0.7443509517574446,434.8109428571429,116.37,170.78,220.0,232.5,252.5,325.57,357.03,119.17135833333332,265.20166666666665,225048269.1,38329.004,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,361386611.618,1.6058182231893467,-0.2341789002091312,-3.8575000000000017,-0.020595426025429363,-0.21524162595250254,50.552499999999995,-0.02018314963687022,-0.16333621497360815,99.7725,0.0,-0.3891249911060887,112.2725,0.0,-4.043597017516232,132.27249999999998,0.0,-0.7452219455128412,205.34249999999997,-4.300141259617635e-06,-0.254068261785693,236.80249999999995,-1.3371674510940985e-05,-1.1127603275735634,120.2275
2022-08-20,127.2103,293.2546,27201701.23,195503870.43,2036748.89,0.7597008622317517,427.6761142857143,116.37,168.22,220.0,232.5,252.5,325.57,357.03,125.91333333333334,265.20166666666665,227905774.05,39675.466,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,358928571.0352,1.5748989797707145,0.05645584117903796,-10.8403,0.0,-0.22184206454851174,41.009699999999995,-0.015103531945168822,-0.1713671954040402,92.7897,0.0,-0.42176213341755237,105.2897,0.0,-4.178678921234184,125.2897,0.0,-0.7996736067847686,198.35969999999998,0.0,-0.2775052118335571,229.81969999999995,0.0,-1.2009041858006606,127.2103
2022-08-21,108.6662,413.6126,28465115.85,183697181.59,970426.87,0.7750507727060589,428.9442857142857,116.37,168.22,220.0,232.5,252.5,325.57,357.03,108.6494,265.20166666666665,215278359.01,35872.253000000004,1079527.811,1066521.7950000002,1048125.007,1028973.782,1130767.432,1123391.735,362638014.1915,1.684507517890616,-0.1575608242596544,7.703800000000001,0.0,-0.21551141177473454,59.553799999999995,0.0,-0.1685632342914748,111.3338,0.0,-0.3904589991641479,123.8338,0.0,-4.049118344914876,143.8338,0.0,-0.747447598550054,216.9038,0.0,-0.25502622188899526,248.36379999999997,0.0,-1.2011038377489767,108.6662
