Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,DTB_Vencimiento_00Meses,DTB_Vencimiento_01Meses,DTB_Vencimiento_02Meses,DTB_Vencimiento_03Meses,DTB_Vencimiento_04Meses,DTB_Vencimiento_05Meses,DTB_Vencimiento_06Meses,Precio_COP/kWh_7-17,Precio_Bilateral_COP/kWh_7-17,Demanda_kWh_7-17,Demanda_kWh_7-17_Comprador,Demanda_Comprador_7-17_01Meses_Adelante,Demanda_Comprador_7-17_02Meses_Adelante,Demanda_Comprador_7-17_03Meses_Adelante,Demanda_Comprador_7-17_04Meses_Adelante,Demanda_Comprador_7-17_05Meses_Adelante,Demanda_Comprador_7-17_06Meses_Adelante,Disponibilidad_kWh_7-17,Ratio_Cobertura_7-17,Retorno_Precio_7-17,Base_DTB_Vencimiento_00Meses,Retorno_DTB_Vencimiento_00Meses,Beta_MA30_DTB_Vencimiento_00Meses,Base_DTB_Vencimiento_01Meses,Retorno_DTB_Vencimiento_01Meses,Beta_MA30_DTB_Vencimiento_01Meses,Base_DTB_Vencimiento_02Meses,Retorno_DTB_Vencimiento_02Meses,Beta_MA30_DTB_Vencimiento_02Meses,Base_DTB_Vencimiento_03Meses,Retorno_DTB_Vencimiento_03Meses,Beta_MA30_DTB_Vencimiento_03Meses,Base_DTB_Vencimiento_04Meses,Retorno_DTB_Vencimiento_04Meses,Beta_MA30_DTB_Vencimiento_04Meses,Base_DTB_Vencimiento_05Meses,Retorno_DTB_Vencimiento_05Meses,Beta_MA30_DTB_Vencimiento_05Meses,Base_DTB_Vencimiento_06Meses,Retorno_DTB_Vencimiento_06Meses,Beta_MA30_DTB_Vencimiento_06Meses
2025-08-01,189.7448,400.2294,25652360.0,202977960.0,12624960.0,0.697882848957755,519.0456571428572,123.65,220.33,389.53,437.57,335.21,392.99,335.53,120.3711,281.506,106246102.84,32676.525,941379.822,944878.474,963484.296,946436.747,919763.066,966375.5920000001,166341349.89,1.5656230717516262,-0.01164652112711878,3.2789000000000073,-0.022866362459152995,-2.9384683568307395,99.95890000000001,-0.008316432112938676,-6.581828768442003,269.15889999999996,-0.002102888398675617,-23.431721435193005,317.1989,-0.0010963661133385747,-38.17280587362506,214.83889999999997,-0.002294433283572586,-25.316541059080574,272.6189,-0.002008211460782822,-29.127927139187463,215.15889999999996,-0.0022922475541647578,-26.218459947882508
2025-08-02,198.0063,424.699,27151910.0,205129020.0,12362080.0,0.7041703602947317,511.29660000000007,215.95,387.97,437.18,334.54,392.28,334.86,379.95,116.8782,289.873,106953177.54,33272.008,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,165886139.77,1.5510164689399653,-0.029447103926365598,99.07179999999998,0.5575919054392848,-0.07765084012765411,271.09180000000003,0.5658015945702338,-0.0684263954661879,320.3018,0.11540412543423188,-0.3584668734422831,217.66180000000003,-0.2684802391151716,0.11227961808982984,275.4018,0.15721866942562385,-0.24738282550288168,217.98180000000002,-0.1600716322245062,0.16877806152703365,263.0718,0.12432829392373479,-0.32005448896328953
2025-08-03,131.9965,464.1188,26589280.0,196533060.0,10183600.0,0.7104050716876168,507.3165142857143,215.95,387.97,437.18,334.54,392.28,334.86,379.95,116.7298,289.873,101154600.66,28875.543,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,163784195.29,1.6191472678589287,-0.0012705046056817643,99.22019999999999,0.0,-0.07762342417317239,271.2402,0.0,-0.06826750885242451,320.4502,0.0,-0.35796645090014745,217.8102,0.0,0.11156701645932876,275.55019999999996,0.0,-0.24681718134821046,218.1302,0.0,0.16736725006188508,263.2202,0.0,-0.3194502593665067
2025-08-04,114.6423,557.4296,22910210.0,172628730.0,10667050.0,0.7162766098170793,513.6685142857143,215.95,387.97,437.18,334.54,392.28,334.86,379.95,104.3424,289.873,86360436.93,18686.429,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,160105816.32,1.853925501208091,-0.11218406325265674,111.60759999999999,0.0,-0.07348744502997305,283.62760000000003,0.0,-0.06199088398257766,332.8376,0.0,-0.3312604559331754,230.19760000000002,0.0,0.09182341364329687,287.9376,0.0,-0.22399987927049556,230.51760000000002,0.0,0.13035676086712586,275.6076,0.0,-0.29245522300348514
2025-08-05,170.6806,581.8776,25405270.0,196234370.0,10310730.0,0.7161396892720552,517.5128571428571,211.98,387.66,437.31,334.14,391.85,334.36,379.61,111.8233,289.873,102798399.01,30642.309,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,160236900.86,1.5587489922329678,0.06924214782345349,100.15669999999999,-0.018554968807601314,-0.07983034102256245,275.8367,-0.0007993502482020833,-0.06738771459921711,325.4867,0.00029731615217469445,-0.35037635135676454,222.31669999999997,-0.0011963870542305447,0.10957568611988446,280.0267,-0.0010967570252458244,-0.24594178263907196,222.5367,-0.0014942771974418769,0.16280343828197466,267.7867,-0.0008952552075112774,-0.31796961667388124
2025-08-06,220.2204,407.292,28446220.0,197305870.0,10849510.0,0.7124609222579078,488.42568571428575,208.21,387.43,437.48,333.77,391.46,333.86,379.27,162.153,289.873,104153221.61,32440.625,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,155178755.23,1.4899083564698963,0.37162038709148865,46.057000000000016,-0.017944744832005873,-0.10603645728764219,225.27700000000002,-0.0005934794843202219,-0.08215509564097818,275.327,0.00038866471299410076,-0.3958711979033815,171.617,-0.0011079338169767362,0.1551183055923006,229.307,-0.0009957744244959274,-0.31120878107685473,171.70700000000002,-0.0014965134037133619,0.2402641622383413,217.117,-0.0008960574076254633,-0.3965963442201755
2025-08-07,201.6796,332.2132,29399370.0,194098960.0,11344550.0,0.7248216658522455,452.5513714285715,204.11,387.04,437.57,333.37,391.03,333.36,378.89,132.8855,289.873,103796265.81,32586.309,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,154929664.35,1.4926323518574371,-0.1990524787928387,71.2245,-0.019888121561151616,-0.08475836072858779,254.1545,-0.001007140452091847,-0.06837213810728657,304.68449999999996,0.00020570253200917756,-0.338858237439591,200.4845,-0.0011991487481845251,0.12072825819862236,258.1445,-0.001099055689616326,-0.25473194475370253,200.4745,-0.0014987563130439358,0.18210321448642056,246.00449999999998,-0.0010024270122943396,-0.3271811580468683
2025-08-08,162.1225,398.2794,21844670.0,186576810.0,10799310.0,0.7125244833503124,452.2728,204.11,387.04,437.57,333.37,391.03,333.36,378.89,110.7753,289.873,92608373.12,24364.867,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,157899729.43,1.7050264906975185,-0.181984029902776,93.33470000000001,0.0,-0.08146062994475071,276.2647,0.0,-0.0604276585460316,326.7947,0.0,-0.30549240778893977,222.5947,0.0,0.09345775673096382,280.25469999999996,0.0,-0.2265055386546922,222.5847,0.0,0.12947009028499848,268.11469999999997,0.0,-0.2947400546810847
2025-08-09,175.0554,501.1472,27011120.0,196575160.0,11828500.0,0.7413118985294495,463.19397142857144,199.6,384.37,436.78,332.5,390.13,332.53,378.17,130.2339,289.873,103743396.83,34742.612,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,156855108.05,1.5119526913797894,0.1618282392738577,69.36609999999999,-0.02234370032858768,-0.0798316613997264,254.1361,-0.006922416515622648,-0.05452864349249241,306.54609999999997,-0.0018070571624082595,-0.26850308730509176,202.2661,-0.0026131241685621574,0.08395910503372266,259.8961,-0.002304266470948996,-0.20710673254454473,202.29609999999997,-0.0024929055244609253,0.11731984174806641,247.9361,-0.0019020955197157758,-0.2667422414539532
2025-08-10,115.7926,595.0954,24321220.0,186236920.0,9123770.0,0.7501313334673451,481.9049142857143,199.6,384.37,436.78,332.5,390.13,332.53,378.17,108.0202,289.873,95413317.85,30263.351,944878.474,963484.296,946436.747,919763.066,966375.5920000001,921443.0349529171,159758138.99,1.6743798726416474,-0.18701381787601454,91.57979999999999,0.0,-0.06165809227562162,276.3498,0.0,-0.03185435021572007,328.7598,0.0,-0.1547289091191408,224.4798,0.0,0.0328256605071883,282.1098,0.0,-0.12581683336173655,224.50979999999998,0.0,0.02972052440271768,270.1498,0.0,-0.16441914021275855
