Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,NTB_Vencimiento_00Meses,NTB_Vencimiento_01Meses,NTB_Vencimiento_02Meses,NTB_Vencimiento_03Meses,NTB_Vencimiento_04Meses,NTB_Vencimiento_05Meses,NTB_Vencimiento_06Meses,Precio_COP/kWh_17-23,Precio_Bilateral_COP/kWh_17-23,Demanda_kWh_17-23,Demanda_kWh_17-23_Comprador,Demanda_Comprador_17-23_01Meses_Adelante,Demanda_Comprador_17-23_02Meses_Adelante,Demanda_Comprador_17-23_03Meses_Adelante,Demanda_Comprador_17-23_04Meses_Adelante,Demanda_Comprador_17-23_05Meses_Adelante,Demanda_Comprador_17-23_06Meses_Adelante,Disponibilidad_kWh_17-23,Ratio_Cobertura_17-23,Retorno_Precio_17-23,Base_NTB_Vencimiento_00Meses,Retorno_NTB_Vencimiento_00Meses,Beta_MA30_NTB_Vencimiento_00Meses,Base_NTB_Vencimiento_01Meses,Retorno_NTB_Vencimiento_01Meses,Beta_MA30_NTB_Vencimiento_01Meses,Base_NTB_Vencimiento_02Meses,Retorno_NTB_Vencimiento_02Meses,Beta_MA30_NTB_Vencimiento_02Meses,Base_NTB_Vencimiento_03Meses,Retorno_NTB_Vencimiento_03Meses,Beta_MA30_NTB_Vencimiento_03Meses,Base_NTB_Vencimiento_04Meses,Retorno_NTB_Vencimiento_04Meses,Beta_MA30_NTB_Vencimiento_04Meses,Base_NTB_Vencimiento_05Meses,Retorno_NTB_Vencimiento_05Meses,Beta_MA30_NTB_Vencimiento_05Meses,Base_NTB_Vencimiento_06Meses,Retorno_NTB_Vencimiento_06Meses,Beta_MA30_NTB_Vencimiento_06Meses
2025-12-17,325.5707,355.77749475999997,32118060.0,202617020.0,14150830.0,0.8161912156483769,341.46231075142856,304.49,269.2,339.32,281.37,271.35,265.4,256.22,333.1704142857143,291.37,75867194.59,21690.806,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,115164660.47,1.5179770530908727,0.02568595784369224,-28.680414285714278,-0.0020013458344365002,3.498871289911125,-63.9704142857143,-0.005408822877786963,-0.7080829947524636,6.149585714285706,-0.000913174818593708,0.0009172165329843836,-51.80041428571428,-0.001385115558939188,-0.0848712021154705,-61.820414285714264,-0.0015098233429145559,-1.5487642573170763,-67.77041428571431,-0.001618884829213655,-3.849923918872463,-76.95041428571426,-0.001598908403421352,-1.6294621704034957
2025-12-18,346.684,347.1892121,35690810.0,197066300.0,13535310.0,0.8398083720057652,340.6393460228572,304.46,268.2,339.12,281.03,270.97,265.0,255.84,353.3147142857143,291.37,76242605.98,20413.169,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,117731365.98,1.5441676535936266,0.05870508794129602,-48.854714285714294,-9.853025707951252e-05,3.6212575261456816,-85.11471428571429,-0.003721626922994577,-0.8229022593479451,-14.19471428571427,-0.0005895878951522854,0.016391098028993963,-72.2847142857143,-0.0012091039879852875,-0.10758646163948833,-82.34471428571425,-0.0014013868645438062,-1.7899602081656265,-88.31471428571427,-0.0015082959118848521,-4.40858163060511,-97.47471428571427,-0.0014842013426436176,-1.8750709733017874
2025-12-19,381.4382,339.86575532,39490260.0,195150720.0,13350550.0,0.8242215935235524,341.4428323514286,304.92,267.61,339.02,280.75,270.64,264.66,255.48,415.05057142857146,291.37,76800629.74,21678.984,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,117169731.82,1.5256350399295566,0.16104117003877658,-110.13057142857144,0.0015097314889651221,0.2883194288078005,-147.44057142857145,-0.002202274083943349,-1.1103743578347633,-76.03057142857148,-0.0002949243540415237,0.10592907167932315,-134.30057142857146,-0.0009968315824189983,-0.18573335105300307,-144.41057142857147,-0.0012185891724171129,-2.103619553007733,-150.39057142857143,-0.0012838426413187968,-4.695301940765193,-159.57057142857147,-0.0014081203922557833,-2.099020927104194
2025-12-20,386.7507,328.50626944,40401740.0,194301070.0,13882640.0,0.8172950969332173,333.4818931914286,305.99,267.5,339.02,280.53,270.37,264.34,255.15,418.2166428571428,291.37,75722829.76,21336.226,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,119886239.86,1.5832245075887137,0.007599210938506801,-112.22664285714279,0.0035029745597514373,-0.43109549327343877,-150.7166428571428,-0.0004111304275735862,-1.1526646076679654,-79.19664285714282,0.0,0.13375233917830995,-137.68664285714283,-0.0007839225030875123,-0.20766439179945537,-147.8466428571428,-0.000998133204251459,-2.173702373891601,-153.87664285714283,-0.001209830015242904,-4.730063902629001,-163.0666428571428,-0.0012925211834078603,-2.157216340066638
2025-12-21,393.6606,342.76958954,38525580.0,178713630.0,15503850.0,0.8109603311745449,335.4589174714286,305.99,267.5,339.02,280.53,270.37,264.34,255.15,418.0602285714286,291.37,70819165.37,18642.034,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,119456789.45,1.6867861803494733,-0.0003740729724377811,-112.07022857142857,0.0,0.2292730022627484,-150.56022857142858,0.0,-1.112740708406546,-79.0402285714286,0.0,0.109243380928808,-137.5302285714286,0.0,-0.188347961221135,-147.69022857142858,0.0,-2.098671907098046,-153.7202285714286,0.0,-4.639281233348948,-162.91022857142858,0.0,-2.093479309068077
2025-12-22,403.1233,297.91977492,36868030.0,162290880.0,13117730.0,0.8008703455198302,334.7969503657142,305.99,267.5,339.02,280.53,270.37,264.34,255.15,433.962,291.37,68599311.96,17359.303,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,115646059.88,1.685819530484982,0.037331463026720774,-127.97199999999998,0.0,-0.24653597368462862,-166.462,0.0,-1.085833275899513,-94.94200000000001,0.0,0.11569493930479657,-153.43200000000002,0.0,-0.18963360422553738,-163.59199999999998,0.0,-2.041117047289304,-169.622,0.0,-4.457729052509363,-178.81199999999998,0.0,-2.0328591017845534
2025-12-23,438.1336,330.23059928,38840530.0,182090290.0,12516580.0,0.8103011953123639,334.6083850514286,308.1,268.76,339.29,280.5,270.23,264.15,254.92,442.4969571428572,291.37,74709028.56,20428.104,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,118323300.34,1.5837885008098143,0.01947661524769627,-134.39695714285716,0.006871983922797951,-0.5741190593164178,-173.7369571428572,0.004699221715887903,-0.7420455042651742,-103.20695714285716,0.0007960962222578572,0.04722714382398852,-161.99695714285718,-0.00010694615271395654,-0.10682289167099406,-172.26695714285717,-0.0005179430378458419,-1.362502542155832,-178.3469571428572,-0.0007190297193358263,-3.0729719142347673,-187.5769571428572,-0.0009018370638871028,-1.3543573929979087
2025-12-24,435.2731,288.55010269999997,41362670.0,184019740.0,16118650.0,0.8103011953123639,325.00447189999994,309.83,269.75,339.53,280.44,270.07,263.94,254.67,438.1219714285714,291.37,74107004.51,19087.708,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,118851879.73,1.603787395211233,-0.009936242719935403,-128.2919714285714,0.005599354360596932,-0.9473563095511219,-168.37197142857138,0.0036768160862949116,-0.5036832534694251,-98.59197142857141,0.0007071094251789821,-0.007646089347452551,-157.6819714285714,-0.00021392662398413633,-0.04181659228124532,-168.0519714285714,-0.0005922635745957937,-0.8092642013508861,-174.1819714285714,-0.0007953190216413812,-1.9103165866512315,-183.4519714285714,-0.0009811810281072136,-0.7862956080323767
2025-12-25,272.6516,285.42645944,35282430.0,175853710.0,15190380.0,0.8131358758381081,316.18122151999995,310.76,270.15,339.63,280.3,269.85,263.68,254.39,329.0019857142857,291.37,66570674.26,12393.483,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,119478045.63,1.79475492712247,-0.2864335588381992,-18.241985714285704,0.0029971501190007377,-5.201082328775551,-58.85198571428572,0.001481756151830645,-1.0211624723915693,10.6280142857143,0.00029448142035074675,0.17123286973194948,-48.701985714285684,-0.0004993401680242029,-0.20358056228269572,-59.15198571428567,-0.000814935591107967,-1.4739502555492348,-65.32198571428569,-0.0009855578675764826,-2.682112870378384,-74.61198571428571,-0.0011000669007062906,-1.345226281458372
2025-12-26,207.3692,333.5621629,23237040.0,162848100.0,15069920.0,0.8157388760251361,315.28070831714285,310.76,270.15,339.63,280.3,269.85,263.68,254.39,284.601,291.37,62472862.68,11358.549,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,118053755.9,1.8896805882691465,-0.1449755869998669,26.158999999999992,0.0,-3.2106891259064967,-14.451000000000022,0.0,-1.09683483153198,55.028999999999996,0.0,0.11451626460647057,-4.300999999999988,0.0,-0.17541913647042653,-14.750999999999976,0.0,-1.5827545997197352,-20.920999999999992,0.0,-3.171474192431654,-30.211000000000013,0.0,-1.46499579436743
