Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,MTB_Vencimiento_00Meses,MTB_Vencimiento_01Meses,MTB_Vencimiento_02Meses,MTB_Vencimiento_03Meses,MTB_Vencimiento_04Meses,MTB_Vencimiento_05Meses,MTB_Vencimiento_06Meses,Precio_COP/kWh_0-7,Precio_Bilateral_COP/kWh_0-7,Demanda_kWh_0-7,Demanda_kWh_0-7_Comprador,Demanda_Comprador_0-7_01Meses_Adelante,Demanda_Comprador_0-7_02Meses_Adelante,Demanda_Comprador_0-7_03Meses_Adelante,Demanda_Comprador_0-7_04Meses_Adelante,Demanda_Comprador_0-7_05Meses_Adelante,Demanda_Comprador_0-7_06Meses_Adelante,Disponibilidad_kWh_0-7,Ratio_Cobertura_0-7,Retorno_Precio_0-7,Base_MTB_Vencimiento_00Meses,Retorno_MTB_Vencimiento_00Meses,Beta_MA30_MTB_Vencimiento_00Meses,Base_MTB_Vencimiento_01Meses,Retorno_MTB_Vencimiento_01Meses,Beta_MA30_MTB_Vencimiento_01Meses,Base_MTB_Vencimiento_02Meses,Retorno_MTB_Vencimiento_02Meses,Beta_MA30_MTB_Vencimiento_02Meses,Base_MTB_Vencimiento_03Meses,Retorno_MTB_Vencimiento_03Meses,Beta_MA30_MTB_Vencimiento_03Meses,Base_MTB_Vencimiento_04Meses,Retorno_MTB_Vencimiento_04Meses,Beta_MA30_MTB_Vencimiento_04Meses,Base_MTB_Vencimiento_05Meses,Retorno_MTB_Vencimiento_05Meses,Beta_MA30_MTB_Vencimiento_05Meses,Base_MTB_Vencimiento_06Meses,Retorno_MTB_Vencimiento_06Meses,Beta_MA30_MTB_Vencimiento_06Meses
2023-07-10,447.3908,436.1362,51385460.91,127091747.01,3597713.71,0.8472246726451413,459.46468571428574,358.13,473.0,343.58,346.61,342.37,382.92,361.2,397.23875714285714,272.4142857142857,50770254.11,8860.723,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,108048633.6713,2.1281877659544373,-0.15216020292432272,-39.108757142857144,0.0,-1.100152646950538,75.76124285714286,0.0,1.233190729561766,-53.658757142857155,0.0,21.653340673265067,-50.628757142857125,0.0,28.008241183414672,-54.868757142857135,0.0,-19.980109751815686,-14.318757142857123,0.0,2.197001267979452,-36.03875714285715,0.0,-3.75498018890573
2023-07-11,473.9263,523.2974,49900272.35,161645738.2,3039318.9299999997,0.8619035179687977,477.6266,365.55,473.0,343.58,346.61,342.37,382.92,361.2,358.0036285714286,272.4142857142857,53685490.67,7560.802000000001,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,108567666.8478,2.022290669096347,-0.1039943812754453,7.546371428571433,0.02050701976219871,-1.1398573499737745,114.99637142857142,0.0,1.244062938102388,-14.423628571428594,0.0,21.9125424238973,-11.393628571428565,0.0,28.3435143985927,-15.633628571428574,0.0,-20.219282058003476,24.916371428571438,0.0,2.223300515905876,3.1963714285714104,0.0,-3.7892565455136844
2023-07-12,529.2881,416.6196,49345832.84,165897870.62,2937773.53,0.8765823632924541,474.21622857142853,373.38,473.0,343.58,346.61,342.37,382.92,361.2,440.3067857142857,272.4142857142857,55842255.2,9186.941,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,107076410.1058,1.917480046647543,0.2069286021892683,-66.9267857142857,0.02119359906985647,-1.0860567753262809,32.693214285714305,0.0,1.2099518372743105,-96.72678571428571,0.0,21.099307742314906,-93.69678571428568,0.0,27.29160866985682,-97.93678571428569,0.0,-19.46888892295892,-57.38678571428568,0.0,2.140787722450067,-79.1067857142857,0.0,-3.681715906286197
2023-07-13,564.1035,397.0634,52781532.48,162365532.58,3095850.42,0.8921353050714569,477.0608857142857,382.34,537.5,343.58,346.61,342.37,382.92,361.2,499.26179999999994,272.4142857142857,54878010.49,8654.972,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,104388189.7601,1.9021861184111597,0.12565888325680674,-116.92179999999996,0.023713597291690616,-1.0256694010977085,38.23820000000006,0.127833371509885,1.2029258745459028,-155.68179999999995,0.0,20.98548216336292,-152.65179999999992,0.0,27.144377149499995,-156.89179999999993,0.0,-19.36385905277207,-116.34179999999992,0.0,2.1292386989040244,-138.06179999999995,0.0,-3.6666638237838654
2023-07-14,626.4731,349.6226,55067699.81,164307704.27,3854719.02,0.892135305071457,461.4523142857143,390.6,537.5,343.58,346.61,342.37,382.92,361.2,597.3182,272.4142857142857,56374904.6,9105.832,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,106069884.5405,1.8815088964336801,0.17931936225461428,-206.71820000000002,0.021373753341706516,-1.025741600468925,-59.81820000000005,0.0,1.1801472200415912,-253.73820000000006,0.0,20.37067909714539,-250.70820000000003,0.0,26.349139462218588,-254.94820000000004,0.0,-18.796564013907897,-214.39820000000003,0.0,2.066859265798569,-236.11820000000006,0.0,-3.585363411691991
2023-07-15,670.6897,633.9446,56111810.63,166659527.72,2765177.85,0.9012130116746185,470.38839999999993,400.59,537.5,343.58,346.61,342.37,382.92,361.2,630.0451142857144,272.4142857142857,57698668.41,9371.936000000002,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,106586802.8724,1.8473009136884517,0.0533414570746252,-229.4551142857144,0.025254441921403675,-1.015028494025314,-92.54511428571436,0.0,1.2485236581658563,-286.4651142857144,0.0,20.328079687153206,-283.43511428571435,0.0,26.294037823753847,-287.67511428571436,0.0,-18.757256412376588,-247.12511428571435,0.0,2.0625370247559407,-268.8451142857144,0.0,-3.9536098699389073
2023-07-16,634.0613,495.7982,52528030.97,155027476.55,3416709.11,0.9013248745449719,464.6402857142857,400.59,537.5,343.58,346.61,342.37,382.92,361.2,538.2661285714286,272.4142857142857,55803154.06,8828.057,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,109493990.077,1.9621469775574187,-0.15743832617037176,-137.6761285714286,0.0,-0.9294035994135006,-0.7661285714285668,0.0,1.3422947816304516,-194.68612857142858,0.0,21.138692409076043,-191.65612857142855,0.0,27.34255209065361,-195.89612857142856,0.0,-19.505230195943085,-155.34612857142855,0.0,2.1447837877278833,-177.06612857142858,0.0,-4.111266004085093
2023-07-17,658.6905,586.8748,49501574.73,134355267.27,3684552.0,0.9013307774240303,486.17437142857136,400.59,537.5,343.58,346.61,342.37,382.92,361.2,623.5201857142856,272.4142857142857,52327932.64,8245.753,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,103718537.0416,1.9820874207882715,0.14702803880985726,-222.93018571428564,0.0,-0.9488945664085955,-86.02018571428562,0.0,1.39922019468453,-279.94018571428563,0.0,21.019388488944823,-276.9101857142856,0.0,27.18823442579149,-281.1501857142856,0.0,-19.39514531555385,-240.6001857142856,0.0,2.132678918194895,-262.3201857142856,0.0,-4.08806257496575
2023-07-18,617.0051,833.4728,56183955.32,154491149.89,3208972.17,0.9013307774240303,530.4851428571428,411.69,537.5,343.58,346.61,342.37,382.92,361.2,514.2936,272.4142857142857,53409093.0,7588.493,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,109643425.414,2.0528980975954787,-0.19258683083384925,-102.60359999999997,0.02733217858566914,-0.9904789403787897,23.20640000000003,0.0,1.4526509968171026,-170.71359999999999,0.0,22.003475556256912,-167.68359999999996,0.0,28.461134914573226,-171.92359999999996,0.0,-20.303188462656532,-131.37359999999995,0.0,2.232526815445978,-153.09359999999998,0.0,-4.279457748640869
2023-07-19,568.3116,694.383,52948325.22,163873631.45,3360340.17,0.9013307774240303,570.1656285714286,420.13,537.5,343.58,346.61,342.37,382.92,361.2,504.3951285714286,272.4142857142857,55672325.02,9333.754,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,110430414.8507,1.98357828258526,-0.019434362428445283,-84.26512857142859,0.02029354824467424,-0.9603934336944898,33.104871428571414,0.0,1.475379798863107,-160.8151285714286,0.0,22.422094017074183,-157.78512857142857,0.0,29.002611030952647,-162.02512857142858,0.0,-20.689458780824676,-121.47512857142857,0.0,2.275000875365549,-143.1951285714286,0.0,-4.360874887096488
2023-07-20,464.5197,653.308,43863079.73,171718694.85,3841239.33,0.9166458579276617,606.772,426.33,537.5,343.58,346.61,342.37,382.92,361.2,267.4627,272.4142857142857,56874789.63,9046.077,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,106376576.0083,1.8703642984938458,-0.6343798288150535,158.8673,0.01464950707755403,-0.9483812011658486,270.0373,0.0,1.5958757212679424,76.1173,0.0,24.64138465411578,79.14730000000003,0.0,31.87322708767507,74.90730000000002,0.0,-22.737256908991384,115.45730000000003,0.0,2.5001755685996216,93.7373,0.0,-4.792504903404214
2023-07-21,359.9697,477.4252,34540489.85,167004642.84,4040220.43,0.9166458579276618,625.0295142857142,426.33,537.5,343.58,346.61,342.37,382.92,361.2,324.6284428571429,272.4142857142857,55468883.16,8792.256000000001,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,107203300.8072,1.9326745861814465,0.19370115820937955,101.7015571428571,0.0,-0.9940752793384445,212.8715571428571,0.0,1.565937004536731,18.951557142857098,0.0,23.8279268611034,21.981557142857127,0.0,30.821032767962105,17.74155714285712,0.0,-21.98665790313339,58.29155714285713,0.0,2.4176401377086947,36.5715571428571,0.0,-4.634295431150669
2023-07-22,461.0816,571.6212,41973323.48,175736198.46,3107597.14,0.9270891980280724,616.1261714285714,428.1,537.5,343.58,346.61,342.37,382.92,361.2,322.9618571428572,272.4142857142857,57132896.48,8337.053,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,109339999.6893,1.9137835892422448,-0.005147048661986064,105.13814285714284,0.004143118879020794,-1.2205436985743467,214.53814285714282,0.0,1.7601068932111896,20.6181428571428,0.0,24.835097937305605,23.64814285714283,0.0,32.12379204381186,19.40814285714282,0.0,-22.91600127536511,59.95814285714283,0.0,2.5198301953481845,38.238142857142805,0.0,-4.83018021559032
2023-07-23,345.7481,499.7,44047319.78,164311410.85,2996799.91,0.9270891980280724,616.6835714285714,428.1,537.5,343.58,346.61,342.37,382.92,361.2,327.40770000000003,272.4142857142857,56234532.7,9220.158,276529.239,272283.447,277626.177,277320.142,278147.166,290547.093,105834070.193,1.8820120860184546,0.013671956383557352,100.69229999999999,0.0,-1.316569803481321,210.09229999999997,0.0,1.8036595237437947,16.17229999999995,0.0,24.889278542687542,19.20229999999998,0.0,32.19387376865511,14.96229999999997,0.0,-22.965995151981463,55.51229999999998,0.0,2.525327492994778,33.792299999999955,0.0,-4.8407178059330365
