Fecha,Precio_COP/kWh_0-7,Precio_COP/kWh_7-17,Precio_COP/kWh_17-23,Precio_COP/kWh_Dia
2023-12-05,752.9344571428571,809.6916,838.2201714285713,801.4582666666666
2023-12-06,802.8152,815.696,814.9397714285715,811.7185333333333
2023-12-07,801.6098,811.6598,809.9669428571427,808.2347999999998
2023-12-08,762.6461,790.5685000000001,843.8806714285713,797.97385
2023-12-09,829.1585000000001,898.9585,905.8647857142856,880.6145
2023-12-10,855.4543571428572,887.3291000000002,953.0972142857144,897.2146666666667
2023-12-11,919.7289,950.5219,964.6106142857144,945.6498166666668
2023-12-12,857.4485142857142,918.4127999999998,923.5199428571428,902.1211333333332
2023-12-13,853.0023,928.6545,939.8197285714284,909.8458
2023-12-14,847.8948142857143,892.8091000000001,922.1948142857144,888.2799333333334
2023-12-15,849.5775571428572,877.5346999999999,873.9347,868.3305333333334
2023-12-16,809.0445,852.5445,855.6873571428571,840.7736666666666
2023-12-17,757.6860857142857,769.8693000000001,804.5217999999999,776.4228416666666
2023-12-18,743.8531428571429,764.196,769.8531428571429,759.9126666666666
2023-12-19,601.8914285714285,708.103,725.1601428571429,682.099625
2023-12-20,353.4660285714286,574.4126,655.1268857142858,533.5115166666667
2023-12-21,492.6183,529.9183,562.6183,528.5766333333332
2023-12-22,468.6824714285714,496.0809,511.93804285714293,492.7146916666666
2023-12-23,491.4978,499.1978,520.9263714285714,503.2894666666666
2023-12-24,491.5736,495.8236,504.8593142857143,497.21943333333337
2023-12-25,416.4167714285714,403.6162,462.6754857142857,424.575325
2023-12-26,233.2440428571429,433.5439,475.0651857142857,387.23348333333337
2023-12-27,371.62428571428575,432.96,441.48142857142864,417.55583333333334
2023-12-28,363.7208,371.8208,401.7208,378.1791333333333
2023-12-29,296.09067142857145,340.9791,358.4791,332.99080833333335
2023-12-30,99.01364285714284,102.8003,176.79507142857142,123.27766666666666
2023-12-31,151.8929,163.73,232.77847142857144,180.41665
2024-01-01,241.58995714285712,149.4231,295.2478142857143,218.83730833333337
2024-01-02,344.70597142857144,400.1474,444.59168571428575,396.9399
2024-01-03,429.185,452.485,497.8992857142857,458.935
2024-01-04,489.42142857142863,561.2362,593.85,549.8025833333334
2024-01-05,609.2294,617.722,644.6559714285714,623.1007333333333
2024-01-06,628.6870857142857,609.1166000000001,648.2563714285714,626.240425
2024-01-07,629.5908000000001,628.8468,646.0493714285715,634.0812166666667
2024-01-08,605.4082857142857,615.5060000000001,693.5202857142857,635.315
2024-01-09,670.7617,692.9617000000001,706.4759857142857,690.4283666666666
2024-01-10,639.3291285714286,659.7577,695.4719857142857,664.2160333333333
2024-01-11,678.7609999999999,688.961,690.9038571428571,686.5526666666666
2024-01-12,632.1171857142857,678.4549,678.7549,665.0272333333334
2024-01-13,617.2132285714285,655.8138000000001,670.0566571428571,648.7094666666667
2024-01-14,609.6078428571428,602.0231000000001,632.7958428571429,613.2107
2024-01-15,553.2849571428571,628.7929,655.9066714285715,614.6779333333334
2024-01-16,602.5757714285713,604.6043999999999,621.2416285714286,608.8652416666666
2024-01-17,562.79,588.6899999999999,612.79,588.165
2024-01-18,543.6316142857142,554.6459000000001,559.4887571428571,552.8459
2024-01-19,521.4539428571428,547.1668,552.0825142857143,541.1009666666667
2024-01-20,519.8060428571429,526.8888999999999,529.9917571428571,525.7280666666667
2024-01-21,500.0229428571429,494.96579999999994,515.8657999999999,502.5366333333333
2024-01-22,500.9502857142857,501.33,504.7942857142857,502.2296666666666
2024-01-23,481.60567142857144,498.1811,501.7435285714286,494.3856416666667
2024-01-24,471.34101428571427,495.3343,500.2935857142857,489.78271666666666
2024-01-25,471.6436428571428,481.80869999999993,487.2626428571429,480.434625
2024-01-26,423.9126714285714,452.7841,453.6442428571429,444.6141416666667
2024-01-27,450.0268,464.6379,488.94737142857144,467.4665916666666
2024-01-28,509.0742,514.4187,569.1060571428571,528.8103666666667
2024-01-29,559.5557142857143,611.5375,616.778,597.904625
2024-01-30,607.5371428571428,635.706,637.0202857142857,627.8734166666667
