Query,Titulo,Fuente,Fecha,url,Hora,Año,Mes,Dia,Titulo_norm
consumo energía sector industrial Colombia,¿Habrá apagones en 2025 en Ecuador? Por estas razones expertos creen que sí - extra.ec,extra.ec,2024-12-13,https://news.google.com/rss/articles/CBMipAFBVV95cUxPZVY5a1VVQXB0eHlpQi1abjI2MGpuQlJzTUZ1bWkzUWF0dHA4czA5cmcyYkR1RmxYemRSTXpSMmlBbkdwQS0wYUFNc2JuM2NWMkxHUXdrU1BXZ3dLNVN4Z3JqX3RYXzktVHZvVi11cDRkMEx4NFFPdzVZZXRid0NIZXpKQU00cXdIOHNLa2VkT0F6NjBzODFJMmdTUzhocnFkaEtmTQ?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2024,Diciembre,Viernes,habra apagones en 2025 en ecuador por estas razones expertos creen que si extra ec
consumo energía sector industrial Colombia,¿Apagones en 2025? Déficit de 1.800 MW pone en riesgo el fin de los cortes de luz - expreso.ec,expreso.ec,2024-12-13,https://news.google.com/rss/articles/CBMipgFBVV95cUxPU25kU29wVjd1ZGlUZjlGbWRieUpBVTMwXzFyYTBnQzBxTml1eS1sS21nQ0pwcWNLcVo2cXpkbVVuTlNaaWdwQ0dmaU9TeDZuc0ktQUU5TGZuWWpQeDFreno4aElDUkZWci15VS1TUEpzd1JoRWpjb3Z1OWNXSzk5YkctS0ZUcWdvMWkwRGd5STdfOGpFN0cySjI3ejJ1LXNRRXc4b3FB?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2024,Diciembre,Viernes,apagones en 2025 deficit de 1 800 mw pone en riesgo el fin de los cortes de luz expreso ec
consumo energía sector industrial Colombia,"Apagones en Ecuador continúan: ya no son residenciales, pero sí industriales - expreso.ec",expreso.ec,2024-12-31,https://news.google.com/rss/articles/CBMisgFBVV95cUxORHB4YWVVc1VxRDVlWk83b2k3c3JoUWdzNmNUb2tqczlXMWNDeVZwRFhlZDlJRk9VMlVqRklmTXppRHZZTjhwSnlSSURwemxWZ1dhNE9xeG1XcVhYbHo0R0lzc2dNSTR6aF9sb0ZfM3JhLUFZTzQtV2N0MUtESnY1TEUxdElRNGxucF84M2tVSnZhTnVoRU5ZU3V1ZzV4NE9UU2ZZYVh0SFZLSWY0YmJoNUF3?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2024,Diciembre,Martes,apagones en ecuador continuan ya no son residenciales pero si industriales expreso ec
consumo energía sector industrial Colombia,"En 2024, la demanda de energía en Colombia subió 2,3 %, según XM - Yahoo Finanzas",Yahoo Finanzas,2025-01-23,https://news.google.com/rss/articles/CBMipAFBVV95cUxOWmp6TV8tRVNfeno2VmNsNGo1OFR5TzVrOXZqdUJnTHBDZ3NUalhBM1FraUtMNnB2a29WOVJRV05PM0RDQi1vY195cU14UHY2UDlLMFZUTmx0SGk1YjFDMUE1NnlENGNEYl9xckhabDdtSlhGdUR5QTRGYVR5cExOUjRXQ2xkX0xpOFRtOFBKbm1MTjl4UDVXWDlqRHZQeWFVanpLNQ?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2025,Enero,Jueves,en 2024 la demanda de energia en colombia subio 2 3 segun xm yahoo finanzas
consumo energía sector industrial Colombia,Racionamiento de agua en Bogotá y Cota este martes 18 de febrero ¡Turno dos! - Bogota.gov.co,Bogota.gov.co,2025-02-15,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNYkF1dDRWcEYwelB4MGY3bU9qNmJ2WlpGSUw2VTRXc2VqQkdCU29RUEZhUXZtV1NLY092UGV5NVBNZ0ItSWlCWDU4eE4xaXk4WVVUM0JMak5EcGc5THc3SXBzOUVnU1pPVnU2ZHpHdVp0YzdfRnhwcVdfVmxza2l3VEVMbWRNLWEtYTUybkxPd0Vscm5tRnBQeS1xUTd1TTllU3lsTHNzRnNlaVU?oc=5&hl=en-US&gl=US&ceid=US:en,11:33:51,2025,Febrero,Sábado,racionamiento de agua en bogota y cota este martes 18 de febrero turno dos bogota gov co
consumo energía sector industrial Colombia,"El consumo mundial de electricidad aumentará un 4% al año hasta 2027, según un informe de la IEA - smartgridsinfo",smartgridsinfo,2025-02-18,https://news.google.com/rss/articles/CBMirAFBVV95cUxOckZvMTBYTDZPSzNTOG9CWHdhTzZseE9Gck5YWVB3ZHgzU29vQVlQQllINmRGV1lyTnVmcmZra3hBX1FKYlJrbXRLRWI1R2ppQWRUbkpoWkVDdnJjaXFwS3lfOVhFaDV1WXFBdkVIYldtYlR1cW5tVmUyQXhRMFhtRTZkRmtWSmtGNFJTR1BGVnJLZXh5VE9ZckQ1aHVwTHpUR19MMFRyNjQzUU9E?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2025,Febrero,Martes,el consumo mundial de electricidad aumentara un 4 al ano hasta 2027 segun un informe de la iea smartgridsinfo
consumo energía sector industrial Colombia,"Actividad económica: en enero y antes de los apagones, la demanda eléctrica del sector productivo cayó 1,6 por ciento - Infobae",Infobae,2025-03-06,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQZ2w1OE80eFliUzNEV2JjcXJsSWYzVmFsZ1ZLbTRkQ3liUEloY3AzOGU1eXpxMF9jVDgzT1JPQk9wUXFjOWE1Ujh3UWptY19KeS1xUU1kaWtpSnBnb2dFNWpoMWZ0dnZjVFpDRklEc3BxTXdtMVJ4V2g4U3RoNnJxUVRtUXpZYmVGLWhnV1JwdmlITVBkT0xMWWFZR3JYcmw0MXRMSDlpaUlnSFNxdGpfTjhjMGltdzRhcF9NaDNwa3c0NFlvYzhDUHNUbk10Z2NoWU5weDNySnhQNl9MME5mUFMzVjhxbUpFTE9TZU8wWFLSAYsCQVVfeXFMTjdoOW1WZ0M0VGxQa3Bqd1QyYjc2Tk1ZZkwwU001U2U1VGlaam1QTkg0bnIwM0hXZFJYUnBrY0p4OUlfYU5wc0thN2ZtaFFIWU9DbEJXaXdxbV93dlgzQkZXUUpETGM1bG5xMmJ3U2JlVU1zSzlLWkNTVWdXTGtnY1JXbk1tQmtmak12elRoWFRhMWxpNC1sUFVENUdNWEdyRzVLb2ZuZVlib3VlS1pXcEMycFo0ZUNXekxXWDNJLUtPZVhrWkVIS2JUTjdiREtwbW1CRUVsNEVZQkM3ZDJWb3NYX0RlSlllVEdjRy1XRHN6SzBlOTdOdlRibEVmNVRCaEs4WHMyaWdpQW5J?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2025,Marzo,Jueves,actividad economica en enero y antes de los apagones la demanda electrica del sector productivo cayo 1 6 por ciento infobae
consumo energía sector industrial Colombia,La industria vuelve a arrancar progresivamente tras el gran apagón - EL PAÍS,EL PAÍS,2025-04-29,https://news.google.com/rss/articles/CBMirwFBVV95cUxQT09jTERoNWxvQ1ZKcXZ3bWZ0dGtFRzIzWUN0WkFuSVdQaEVUUUszb0xZeWVMM1dKaC04X0stYW9zUWhqQWZ6N2EtSzR3SFIyNzljRm5wUTFqZW1IWjgxZnZoNWFIMEczampuaUhvMTVlTHhzRWt5eFRyNjRUSkhnY1U5bGxiZkwxOVI2ZFVYUFBXRks2cTVNbkpmTmFPWGVMMTJKTU5KdTNrak85ZDk40gHDAUFVX3lxTE1OUDFCakVsVzctYUtIbEFrN1hDZVNTM3pYdDRWVndUSEhYaEN6NmIzV3ZEZU5yd3pob1pOUkNKbWxaXzNBRGR3RVZXSmRUY0cwU3FqOUVYX2p6Nk5sZTRLaGQwOU8wREQxOVZYM1VRUngzbHE1N01CcE9MNmx5ZzFTYUZtajUycHRIZ1ZxUmw4OHpIQjVZeVE3S0lGOElQRlFoQ3lzVER6alB1VFFCeElIakxWUmhhVUMwSnBMdG5zWEV2dw?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Abril,Martes,la industria vuelve a arrancar progresivamente tras el gran apagon el pais
consumo energía sector industrial Colombia,"Iniciativa Industria Sustentable para que empresas eviten impuestos verdes, apagones y ahorren en costos energéticos - Yahoo",Yahoo,2025-04-21,https://news.google.com/rss/articles/CBMinAFBVV95cUxPWjAzSVFHaTBLWGxkT1BCc0U1VUtmaWFlN2VWNWhTZE1XZU1WdlRMSDlCOFdUb21seHdGSTFXdHZheXY2THBfalVwSUo0M0h0aGpvcTRKaEhwd2lHYU9RdmpaYlJBb05XSWtCNlZrWG1EVng5NVM4WkVzUmJQRkFsVnoxODBxQll1MjJEbUs5UGhmMzBaZHpEZTFTUlg?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Abril,Lunes,iniciativa industria sustentable para que empresas eviten impuestos verdes apagones y ahorren en costos energeticos yahoo
consumo energía sector industrial Colombia,Región Caribe en alerta energética| Crece la demanda sin infraestructura suficiente para sostenerla: Transelca - ELTIEMPO.COM,ELTIEMPO.COM,2025-05-23,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQYWVLVDFKYWt2UGREZFhuYlBqME5naFhycGt6MnFNa1lKcm1lZmVFMVIwYzZ2cG9ZVlNwY3JCMS1CaWdneTBEVnpyMGxUVmRRQnhmQnkyVmV6aDJhNjhKUll6cTM2R0h2LWNFbjExQ3RvQzlmVTNUZ1JWbTI5d0xTd1BraFNjbXhDT0o0d2E1eXZUclJDSVFRck9DbEVvSkJKVURDaUxHQUN5VFNXU0tTZGNDZjJVQTBHUGNZVTVTU0NKc2JYcnB4YnBmaEs5MmYzc1VNQVdLby01ZjNscDlDN2VlX0JKR3ZxQmNLYmpkbjDSAfYBQVVfeXFMTlpnVlFUdW1COXVQTHY3SGlZTUlZalpuSHVRdjJ1eEtfZG1KRTVxMjlDVV9MZm5rWnlqQktUb3pkOFBJODJLcTNub3VtWHlnMDQ3ODc0WFB6Y24xUG43WDk3TGEwYXhzdTNac3JURm13SHBIelJ3UFdtTFF6Ymd3MmRESEFMaGYwVEtnRlZHd25sV1BSLU9MMGVncFU4UWhMX2p0SXQ1TFpUemY1UjBhajhKSmRMSWZBUWhCX1VzTzFoQkJraTBWeDVwOEl5Y09vYmRDWGdPUnFEQUlNZ2FUWFNaVUpjTlpsZDZpeDlMUlRGY1FwaGpn?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Mayo,Viernes,region caribe en alerta energetica crece la demanda sin infraestructura suficiente para sostenerla transelca eltiempo com
consumo energía sector industrial Colombia,El apagón obliga a España a acelerar en almacenamiento tras años de retraso - EL PAÍS,EL PAÍS,2025-05-10,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNNTgwa1F6QjdEQ2RSNGx3TWNTLUVCb2tsNUh0aDZFVWpRcDRRQ1RpYURmeTFXOGpoaDBSN05nNXpnT3VHVTNlUlNvMERVVmp6TnVaandBVlFOVWVWdmFiTzJRRS1VdWViX2tCQ0pKNGxTaVpwdktaUnZ1LXhTbFRvVExhU05SVWhfRkZIMjQ4LXN4cVN2Y3FPWnBkeVFTalFDTVBfZnNrakRHSkJ5QnJGM2MzdHlCdGQ5YklB0gHPAUFVX3lxTE1FUXlqdG8tLV9hQXVhTDgtSlQtcGM1UHc1R3pQZ1I5YkR4Zk1TS2NzVVFvbHh5SXUtb1UwU2ZlQ3lndnFsa0k2YUF5YW1FMEFfZV8ybWNJdjhzazAtQ0xfZEsza05PcDJGdklZM2VBamUxc0NZb25CV1NLSEU3VGMwVUtKeVVVdlRKS2JjVHJpUEpKNlc5eUh4b3Izd3d1V090QmtOeGY2ZUN0cHZqTThENTctTW54eV9SY3hpc3JrTjJlLWdRV3o5V3ZqN3BNbw?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Mayo,Sábado,el apagon obliga a espana a acelerar en almacenamiento tras anos de retraso el pais
consumo energía sector industrial Colombia,"Hidrogeno verde, una alternativa ante la crisis energética - Urgentebo",Urgentebo,2025-05-21,https://news.google.com/rss/articles/CBMimAFBVV95cUxOYjJrWWlyZkNPanQzcFJkVmRmXzhOTXV0LVhPaDhGTWNSOFg1dzJfQXJkUGp1Z25tY0k3ek5QdXJkVGtSaXY4RmRKVjlxSUdDTFlKR1pwc2xjbTB2TzZTbkdYM3paQXlsUUZJekRfUnR3V3hRRm9RUl9EQ1E5MEdEek5xc1RJWW51RUZRZmZJU0wyNmQ2M21iVQ?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Mayo,Miércoles,hidrogeno verde una alternativa ante la crisis energetica urgentebo
consumo energía sector industrial Colombia,México frente a apagones masivos requiere soluciones de energía segura y confiable - ITSitio,ITSitio,2025-06-17,https://news.google.com/rss/articles/CBMixAFBVV95cUxQcUQtd2wyc1NkNUtKcVcxVTIwMUhib1Iwa1RvYmVuQnRmNWFZMExkUGlMNURwd1ItMU1kbTItaDNNTTJDR2RWdFdLVXVlQk0wQVNQVnVYQkJxRUw4REZreW84VURhZTl5eWY3N19rX0VuQ09sejF3YTJ5ZHdkaWhaVnFRNzlUR3NuckRfQzc1OXZnQURLQUViRWhLWkZBT0hvcGhZS0hwWGcwNHJyLTNvWFZ4YjZPcXVWb1VPSXRsRWRsNGNm?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Junio,Martes,mexico frente a apagones masivos requiere soluciones de energia segura y confiable itsitio
consumo energía sector industrial Colombia,Energéticas y la industria presionan a PP y Junts para sacar adelante el decreto antiapagón - EL PAÍS,EL PAÍS,2025-07-21,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWkZUU28weVo1ZUNsVTlxTGNhTHNMSkVCS0lVZ0pRVTQ2NGI3Q3pnUWdKald4cFd4cExpTzg4c05NR1U4VXRHalVIOU92aTJxcHNhejh3VVRkSjN4MUN2a1dMLXFRVE8wcmlaRjNYSUxUNU9DUmdKaEF3NmlTM196a0dGTVRKVlVuVG9LTkhLRkpST05WNmNua3d3N3JBRU00ZFdwbFpYMm0zaTBEUTEwUHQzdmgzaFItbFNaZ0hiUEN5RGJSbGU5MjNZV09xUWxJ0gHkAUFVX3lxTE4tVld2aTJsa2U1X0x6STRjUGtSbzJYLTV0LWdHdUsycmRnUVNTMXl5TmdsMnhDaHAtZVQyNk02anh1QTRnOEVWcnB4QWc2MklxZWVKYm5YTWNzcGJqSWVvVjc3cWlvZ21qTHFjYnFEMzB6bTE1ckNQU0RrNFRDUnVoVndIUHdaQURvRU1EMy1jWGtkcU1fWE5nNXNiYV9iRGVpbDFHMzY4VExjbkVxWlVXWEhrWl9jUm80MHZIOG0wVEJNWWVjdGRoMzg3dEZYVDV3SndzN3VubGs0cGlQZlJWTFNhbQ?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Julio,Lunes,energeticas y la industria presionan a pp y junts para sacar adelante el decreto antiapagon el pais
consumo energía sector industrial Colombia,Sheinbaum descarta apagones de CFE y asegura la estabilidad - Infobae,Infobae,2025-07-14,https://news.google.com/rss/articles/CBMipAFBVV95cUxPQnFRMXM4ZjVtLUtQYnU4cUlsSnlwTkE5M0tkN1J3TVE5UWZTNmpyZERrbWFOaU1hU2QzN3NmWjRlRmdHWm5LeWVHRVVkWC12a0NSTGtUcWNxVlRBZzdVdjBpc01ocXJlQlRfVXB0R1ZIWE5lOFRjaTJaSzQzNWxNazJoZ2tfM1ByYWNwNVFORWctZlk1blgwV09wLU41MDhWRmhIQtIBvwFBVV95cUxORHR0eDJEVHBZWU9qMXEzZ250MzFuSDNPWlByMFlmTlZhTzhUNkw5LTF6VDJ6eXFzd1BIV0VkdDJqdmgxQzJVZ2FNajJwTncyLXNlQVlHeEg5UXllclFpRHl3SFJkb01EMlFaclBkY3RxSTYtMk9SM3laUDU0X3gwa2ROWnphUkVENVVsRlItOTBET01mcjhmNlRKRnJSZXJhTmgtREEzUVNOQWQ2M2VCQnI0aGpsZ0NRNVgwNWpCVQ?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2025,Julio,Lunes,sheinbaum descarta apagones de cfe y asegura la estabilidad infobae
