Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,spot_cost,strategy_cost_daily
2025-11-26,-0.2,0.0,-10054800.000000002,4994728779.2,4994728779.2,0.0,0.0,247.22410833333333,262.5,398.19,401.64,399.03,398.99,399.27,0.0,-0.2609189450740814,-0.9883784651756287,-0.9469156265258789,-0.998770534992218,-0.8908059597015381,-0.9540273547172546,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,20403764.87737941,20403764.87737941
2025-11-27,-0.2,0.0,-10054800.000000002,4994728779.2,4994728779.2,0.0,0.0,251.51518333333337,255.0,420.0,400.84,397.99,397.95,398.27,0.0,-0.12897484004497528,-0.9924226999282837,-0.8889987468719482,-0.646786630153656,-0.9258099794387817,-0.17793960869312286,0,-1,-1,-1,-1,0,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,19911304.62192997,19911304.62192997
2025-11-28,-0.26473209029981964,0.0,-10054800.000000002,4994157156.8,4860397515.2,133759641.60000001,0.0,261.8671,265.0,420.0,400.04,396.96,396.92,397.27,1440000.0,-0.03539343178272247,-0.8708565831184387,-0.6041290163993835,0.708585798740387,-0.7957100868225098,-0.07201571017503738,0,-1,-1,1,-1,0,0,0,0,1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,571622.4,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,4,0,0,0,0,21400848.8772364,21972471.2772364
2025-12-01,-0.24301288197309717,-1195199.9999999772,-11249999.99999998,4992386648.0,4725199947.2,267186700.80000007,0.0,292.7493,420.0,399.52,396.13,396.05,396.44,385.22,2880000.0,-0.22050800919532776,0.9913985133171082,-0.21884658932685852,0.1841963678598404,-0.8714104294776917,-0.4555313289165497,0,1,0,0,-1,-1,0,1,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,575308.8,-1195199.9999999772,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,4,0,0,0,0,0,0,19356244.126812004,21126752.926811982
2025-12-02,-0.25446068054769316,-1828799.999999974,-13078799.999999953,4989988731.2,4591457499.2,398531232.00000006,640465.4418388698,254.20151666666663,420.0,399.04,395.34,395.22,395.61,384.41,4320000.0,-0.16689731180667877,0.9910422563552856,0.19179381430149078,0.4597756266593933,-0.7548825144767761,-0.42379283905029297,0,1,0,1,-1,-1,0,0,0,1,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,569116.8,-1828799.999999974,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,4,0,0,0,0,18715861.20222133,21113778.002221305
2025-12-03,-0.14248478069184486,-2966400.0000000033,-16045199.999999957,4987022331.2,4591457499.2,395564832.00000006,0.0,230.45415000000003,420.0,398.6,394.55,394.39,342.23,280.65,4320000.0,-0.35621824860572815,0.9837358593940735,-0.1182510033249855,0.11432942003011703,-0.8408373594284058,-0.6544791460037231,-1,1,0,0,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,-2966400.0000000033,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,17407808.2149255,20374208.214925505
2025-12-04,-0.14294558069184493,-3196800.000000039,-19241999.999999996,4983825531.2,4591457499.2,392368032.00000006,0.0,237.3106,420.0,398.08,393.72,393.52,341.58,280.17,4320000.0,-0.83650803565979,0.8597041964530945,0.7052729725837708,0.444620281457901,-0.21332648396492004,-0.9999551773071289,-1,1,1,1,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,-3196800.000000039,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,17133701.4438668,20330501.44386684
2025-12-05,-0.2553651703920251,-5990399.999999953,-25232399.999999948,4980430990.4,4723434017.599999,256996972.80000007,0.0,188.3115,414.71,397.32,392.74,392.54,340.83,279.61,2880000.0,-0.7175426483154297,-0.6343838572502136,0.7724603414535522,0.6543237566947937,-0.47271665930747986,-0.9955641627311707,-1,-1,1,1,-1,-1,0,-1,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,572140.8,-5990399.999999953,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,-4,0,0,0,0,0,0,14636471.6037735,21199012.403773453
2025-12-09,-0.16424485039202535,-3340800.0000000717,-28573200.00000002,4977090190.4,4723434017.599999,253656172.8,0.0,219.91283333333337,408.07,396.25,391.56,391.4,339.94,280.65,2880000.0,-0.5845306515693665,-0.624177873134613,-0.2000279575586319,0.8923908472061157,-0.44704118371009827,-0.9901628494262695,-1,-1,0,1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,-3340800.0000000717,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,14883447.220416002,18224247.220416073
2025-12-10,-0.6892834622102406,-213263999.99999994,-241837199.99999997,4974728590.4,4764457659.2,210270931.19999996,0.0,202.30094999999997,250.0,250.0,250.0,390.26,339.06,280.65,2880000.0,-0.26029425859451294,0.7413637042045593,-0.6599372029304504,0.8507501482963562,-0.4813607335090637,-0.5151370167732239,0,1,-1,1,-1,-1,0,1,-1,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,720000.0,-213263999.99999994,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,4,-4,0,0,0,0,0,14500717.050090149,228484717.05009007
2025-12-11,-0.16123940561440397,-1627199.9999999935,-243464399.99999997,4973101390.4,4764457659.2,208643731.19999996,0.0,235.0135,250.0,250.0,250.0,389.13,338.18,280.65,2880000.0,-0.5578678250312805,0.9980436563491821,-0.4697112441062927,0.4612363874912262,-0.6435104012489319,-0.9963721632957458,-1,1,-1,1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,-1627199.9999999935,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,17070835.643693503,18698035.643693496
2025-12-12,-0.1467242056144039,5630400.000000036,-237833999.99999994,4978731790.4,4771657659.2,207074131.2,0.0,251.70760000000004,252.0,255.0,255.0,388.04,337.33,280.65,2880000.0,-0.4766538143157959,0.9633457660675049,-0.4147224724292755,0.33671483397483826,-0.23643039166927338,-0.9997395873069763,-1,1,-1,0,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,5630400.000000036,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,18546848.220867604,12916448.220867567
2025-12-15,-0.28635585029981975,-11880000.000000041,-249713999.99999997,4978030409.599999,4893934409.599999,84096000.00000001,0.0,293.72229999999996,250.24,254.9,254.59,387.07,336.55,280.65,1440000.0,-0.694550096988678,0.40406838059425354,-0.19378522038459778,-0.6469417810440063,-0.4791252315044403,-0.9951651096343994,-1,1,0,-1,-1,-1,0,0,0,-1,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,557380.8,-11880000.000000041,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,-4,0,0,0,0,19708628.5742413,32146009.37424134
2025-12-16,-0.17870073029981967,143999.99999999182,-249569999.99999997,4978174409.599999,4893934409.599999,84240000.0,0.0,324.73886666666664,252.0,255.0,255.0,386.14,335.81,280.65,1440000.0,-0.9519126415252686,0.304192453622818,-0.2548014521598816,-0.6640081405639648,-0.4053307771682739,-0.9979885220527649,-1,0,0,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,143999.99999999182,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,23802880.261577196,23658880.261577204
2025-12-17,-0.17870073029981967,143999.99999999182,-249425999.99999997,4978318409.599999,4894078409.599999,84240000.0,0.0,346.187625,252.0,255.1,255.0,385.25,335.14,280.14,1440000.0,-0.9272849559783936,0.929932713508606,-0.2061338871717453,-0.5141395330429077,-0.668679416179657,-0.9485806822776794,-1,1,0,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,143999.99999999182,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,26619194.22086138,26475194.220861387
2025-12-18,0.12888326970018038,153936000.0,-95489999.99999997,5132254409.599999,5048014409.599999,84240000.0,0.0,379.1691666666666,325.0,362.0,359.0,373.0,334.5,251.0,1440000.0,-0.534066915512085,-0.2873707711696625,0.09407079964876175,-0.025929177179932594,-0.25050607323646545,0.16774235665798187,-1,0,0,0,0,0,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,153936000.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,28551480.3377775,-125384519.6622225
2025-12-19,-0.12570873029981966,26640000.0,-68849999.99999997,5158894409.599999,5074654409.599999,84240000.0,0.0,384.92366666666663,322.66,380.5,380.5,373.0,333.9,251.0,1440000.0,-0.07516788691282272,-0.2239902764558792,-0.06448793411254883,-0.09595856815576553,-0.13027189671993256,0.31675317883491516,0,0,0,0,0,0,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,26640000.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,28573658.243084,1933658.2430839986
2025-12-22,-0.3102244715714721,0.0,-68849999.99999997,5157968201.599999,4856995529.599999,300972672.0,800454.5660000001,437.8349333333333,321.6,380.5,380.5,373.0,333.4,251.0,4320000.0,0.46712034940719604,-0.05301925912499428,-0.020061729475855827,-0.04349977523088455,0.02250414341688156,0.09004988521337509,1,0,0,0,0,0,1,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,926208.0000000001,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,8,0,0,0,0,0,0,0,29895833.35302933,30822041.35302933
2025-12-23,0.2375024157333387,206351999.99999994,137501999.99999997,5364320201.599999,5063347529.599999,300972672.0,899868.4015513083,435.147525,393.0,381.0,381.0,373.0,332.87,251.0,4320000.0,0.6634461879730225,-0.15791966021060944,-0.18140889704227448,-0.11660145968198776,-0.10981109738349915,-0.31226640939712524,1,0,0,0,0,0,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,206351999.99999994,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,28603015.723926675,-177748984.27607328
2025-12-24,-0.17520158426666124,0.0,137501999.99999997,5364320201.599999,5063347529.599999,300972672.0,899868.4015513083,270.67695,393.0,381.0,381.0,373.0,332.3,251.0,4320000.0,-0.30033114552497864,0.8109073638916016,0.2900769114494324,-0.060014087706804276,0.059572383761405945,-0.39590927958488464,0,1,0,0,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,14448602.68861755,14448602.68861755
2025-12-26,0.06249926970018027,205631999.99999994,343133999.9999999,5363188361.599999,5278948361.599999,84240000.0,0.0,253.2591666666667,393.0,381.0,381.0,373.0,331.67,251.0,1440000.0,-0.9998139142990112,0.9582396745681763,0.041315846145153046,-0.20767857134342194,-0.658298671245575,-0.999741792678833,-1,1,0,0,-1,-1,-1,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,1131840.0,205631999.99999994,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,-8,0,0,0,0,0,0,0,13773473.6934725,-190726686.30652744
2025-12-29,0.142936,214560000.0,557693999.9999999,5362613801.599999,5362613801.599999,0.0,0.0,320.7418,393.0,399.0,402.0,372.1,330.94,250.55,0.0,-0.9999570846557617,-0.5278174877166748,-0.3721054196357727,-0.9994338154792786,-0.9919407963752747,-0.9999933242797852,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,574560.0,214560000.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,-4,0,0,0,0,0,0,18537386.194339003,-195448053.805661
2025-12-30,-0.2,0.0,557693999.9999999,5362613801.599999,5362613801.599999,0.0,0.0,298.5135166666667,393.0,399.0,402.0,371.21,330.21,250.1,0.0,-0.9996501207351685,-0.9130179286003113,-0.898481011390686,-0.9993024468421936,-0.9245999455451965,-0.9999924898147583,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,16696238.606765252,16696238.606765252
2026-01-02,-0.2,0.0,557693999.9999999,5362613801.599999,5362613801.599999,0.0,0.0,334.41450000000003,399.0,402.0,370.43,329.58,249.72,371.39,0.0,-0.27485236525535583,-0.5383613109588623,-0.5060319900512695,-0.6833846569061279,-0.5815537571907043,-0.42302820086479187,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,16487357.854149,16487357.854149
2026-01-05,-0.2,0.0,557693999.9999999,5362613801.599999,5362613801.599999,0.0,0.0,324.7563666666667,399.0,402.0,369.69,328.95,249.35,370.72,0.0,-0.16239744424819946,-0.43178603053092957,-0.4979647397994995,-0.9701226949691772,-0.9705123901367188,-0.9352372288703918,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,19249196.761970703,19249196.761970703
2026-01-06,-0.2,0.0,557693999.9999999,5362613801.599999,5362613801.599999,0.0,0.0,317.9762,399.0,402.0,368.95,328.32,248.98,370.05,0.0,-0.24927349388599396,-0.622286319732666,-0.6599064469337463,-0.99937903881073,-0.9978418350219727,-0.9968641400337219,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,21650059.2023766,21650059.2023766
