Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,terminated_reason
2025-12-12,-0.35087672105512313,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,251.70760000000004,252.0,255.0,255.0,388.04,337.33,280.65,0.0,-0.6940708160400391,-0.5017766356468201,-0.30415183305740356,-0.11311671137809753,-0.2824079692363739,-0.3539225161075592,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-15,-0.35174990856655636,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,293.72229999999996,250.24,254.9,254.59,387.07,336.55,280.65,0.0,-0.5906050205230713,-0.5228649377822876,-0.28434935212135315,-0.14768639206886292,-0.03420529514551163,-0.3112841546535492,-1,-1,-1,0,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-16,-0.35075477915236924,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,324.73886666666664,252.0,255.0,255.0,386.14,335.81,280.65,0.0,-0.6369143724441528,-0.5353062152862549,-0.29902976751327515,-0.16588807106018066,-0.16016703844070435,-0.3706347942352295,-1,-1,-1,0,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-17,-0.35093206605582755,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,346.187625,252.0,255.1,255.0,385.25,335.14,280.14,0.0,-0.6304510235786438,-0.5200551748275757,-0.2665615975856781,-0.16453376412391663,-0.23014473915100098,-0.39060696959495544,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-18,-0.3687608209818402,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,379.1691666666666,325.0,362.0,359.0,373.0,334.5,251.0,0.0,-0.5939033627510071,0.19031834602355957,0.06613973528146744,0.07223474979400635,-0.3520824909210205,-0.38817885518074036,-1,0,0,0,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-19,-0.3512474643370725,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,384.92366666666663,322.66,380.5,380.5,373.0,333.9,251.0,0.0,-0.5395739674568176,-0.3081778585910797,-0.13718406856060028,-0.1896178275346756,-0.26365187764167786,-0.3505113124847412,-1,-1,0,0,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-22,-0.35066939452697504,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,437.8349333333333,321.6,380.5,380.5,373.0,333.4,251.0,0.0,-0.5539311766624451,-0.4260525405406952,-0.27135634422302246,-0.30124711990356445,-0.26211076974868774,-0.34000205993652344,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-23,-0.35024224274866506,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,435.147525,393.0,381.0,381.0,373.0,332.87,251.0,0.0,-0.505164623260498,-0.48013365268707275,-0.3080202341079712,-0.3498471975326538,-0.19195623695850372,-0.32923856377601624,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-24,-0.3502605252202624,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,270.67695,393.0,381.0,381.0,373.0,332.3,251.0,0.0,-0.6016695499420166,-0.5143458247184753,-0.21983574330806732,-0.3139563798904419,-0.30472972989082336,-0.35312578082084656,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-26,-0.35028794892765847,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,253.2591666666667,393.0,381.0,381.0,373.0,331.67,251.0,0.0,-0.5809637308120728,-0.37010979652404785,-0.2666776478290558,-0.3013688325881958,-0.35873541235923767,-0.33248189091682434,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-29,-0.35093723971407886,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,320.7418,393.0,399.0,402.0,372.1,330.94,250.55,0.0,-0.5328636765480042,-0.39870646595954895,-0.3070038855075836,-0.39270949363708496,-0.3147699236869812,-0.3426145613193512,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-30,-0.35093276064496254,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,298.5135166666667,393.0,399.0,402.0,371.21,330.21,250.1,0.0,-0.5128049254417419,-0.4170971214771271,-0.28907108306884766,-0.4052219092845917,-0.26764217019081116,-0.34791797399520874,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2026-01-02,-0.3511539088076103,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,334.41450000000003,399.0,402.0,370.43,329.58,249.72,371.39,0.0,-0.5162524580955505,-0.49710068106651306,-0.29157307744026184,-0.41851165890693665,-0.251019686460495,-0.3559117913246155,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
2026-01-05,-0.3511119710260888,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,324.7563666666667,399.0,402.0,369.69,328.95,249.35,370.72,0.0,-0.5592537522315979,-0.5319697856903076,-0.2238481342792511,-0.3701063394546509,-0.22610661387443542,-0.37484636902809143,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
2026-01-06,-0.3511119710260888,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,317.9762,399.0,402.0,368.95,328.32,248.98,370.05,0.0,-0.5972099304199219,-0.4921486973762512,-0.16588105261325836,-0.34428679943084717,-0.32488441467285156,-0.4114081561565399,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
2026-01-07,-0.3511074004081895,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,274.1542083333333,399.0,402.0,368.21,327.7,248.61,369.38,0.0,-0.5064753293991089,-0.4702650010585785,-0.31428059935569763,-0.37285858392715454,-0.2510536015033722,-0.3151579797267914,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
2026-01-08,-0.3528504632489212,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,194.06564166666664,395.81,401.08,367.4,327.08,248.21,368.68,0.0,-0.49801427125930786,-0.48843684792518616,-0.2868128716945648,-0.372555673122406,-0.23496541380882263,-0.348453551530838,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
2026-01-09,-0.35315945491838324,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,196.36796666666663,392.13,400.08,366.55,326.39,247.79,367.94,0.0,-0.5262777805328369,-0.3518107831478119,-0.20143187046051025,-0.30635538697242737,-0.29759106040000916,-0.34416815638542175,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
2026-01-13,-0.35465207510043295,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,145.00768333333335,385.78,398.8,365.49,325.51,247.24,367.06,0.0,-0.44151148200035095,-0.41692012548446655,-0.24609620869159698,-0.3101315200328827,-0.10181323438882828,-0.19087155163288116,-1,-1,-1,-1,0,0,0,0,0,0,0,0,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,ELMN26F,0.0,0.0,0.0,0.0,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,2445831.50158675,0,0,0,0,0,0,0,0,running
